            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
    -8.440561        -0.1826867      -8.440561        -0.1812208      -8.440561        -0.1796583      -8.440561        -0.1780009      -8.440561        -0.1762508      -8.440561          -0.17441      -8.440561        -0.1724807      -8.440561        -0.1704655      -8.440561        -0.1683666      -8.440561        -0.1661866      -8.440561        -0.1639283      -8.440561        -0.1615944      -8.440561        -0.1591876      -8.440561         -0.156711      -8.440561        -0.1541675      -8.440561        -0.1515603      -8.440561        -0.1488925      -8.440561        -0.1461674      -8.440561        -0.1433883      -8.440561        -0.1405586      -8.440561        -0.1376817      -8.440561        -0.1347611      -8.440561        -0.1318005      -8.440561        -0.1288033      -8.440561        -0.1257733      -8.440561        -0.1227142  
    -8.382903        -0.1928926      -8.382903        -0.1916611      -8.382903        -0.1903431      -8.382903        -0.1889403      -8.382903        -0.1874544      -8.382903        -0.1858873      -8.382903        -0.1842407      -8.382903        -0.1825168      -8.382903        -0.1807177      -8.382903        -0.1788455      -8.382903        -0.1769025      -8.382903         -0.174891      -8.382903        -0.1728136      -8.382903        -0.1706728      -8.382903        -0.1684711      -8.382903        -0.1662112      -8.382903         -0.163896      -8.382903        -0.1615282      -8.382903        -0.1591107      -8.382903        -0.1566465      -8.382903        -0.1541385      -8.382903        -0.1515898      -8.382903        -0.1490035      -8.382903        -0.1463828      -8.382903        -0.1437309      -8.382903         -0.141051  
    -8.267982        -0.2113325      -8.267982        -0.2104093      -8.267982        -0.2094068      -8.267982        -0.2083261      -8.267982        -0.2071688      -8.267982         -0.205936      -8.267982        -0.2046293      -8.267982        -0.2032504      -8.267982        -0.2018009      -8.267982        -0.2002826      -8.267982        -0.1986973      -8.267982        -0.1970469      -8.267982        -0.1953335      -8.267982        -0.1935591      -8.267982         -0.191726      -8.267982        -0.1898362      -8.267982        -0.1878923      -8.267982        -0.1858964      -8.267982        -0.1838511      -8.267982        -0.1817588      -8.267982        -0.1796222      -8.267982        -0.1774437      -8.267982         -0.175226      -8.267982        -0.1729719      -8.267982        -0.1706841      -8.267982        -0.1683654  
    -8.096582        -0.2223346      -8.096582        -0.2217504      -8.096582        -0.2210966      -8.096582        -0.2203741      -8.096582        -0.2195838      -8.096582        -0.2187267      -8.096582        -0.2178037      -8.096582         -0.216816      -8.096582        -0.2157648      -8.096582        -0.2146514      -8.096582        -0.2134772      -8.096582        -0.2122435      -8.096582        -0.2109519      -8.096582        -0.2096039      -8.096582        -0.2082012      -8.096582        -0.2067456      -8.096582        -0.2052387      -8.096582        -0.2036824      -8.096582        -0.2020786      -8.096582        -0.2004293      -8.096582        -0.1987364      -8.096582        -0.1970021      -8.096582        -0.1952284      -8.096582        -0.1934175      -8.096582        -0.1915717      -8.096582        -0.1896931  
    -7.869874        -0.2269903      -7.869874         -0.226722      -7.869874        -0.2263948      -7.869874        -0.2260089      -7.869874        -0.2255649      -7.869874        -0.2250633      -7.869874        -0.2245047      -7.869874        -0.2238898      -7.869874        -0.2232194      -7.869874        -0.2224942      -7.869874        -0.2217151      -7.869874        -0.2208832      -7.869874        -0.2199994      -7.869874        -0.2190647      -7.869874        -0.2180804      -7.869874        -0.2170476      -7.869874        -0.2159676      -7.869874        -0.2148417      -7.869874        -0.2136713      -7.869874        -0.2124577      -7.869874        -0.2112026      -7.869874        -0.2099073      -7.869874        -0.2085735      -7.869874        -0.2072028      -7.869874        -0.2057969      -7.869874        -0.2043575  
    -7.589407        -0.2284506      -7.589407        -0.2284323      -7.589407         -0.228364      -7.589407        -0.2282459      -7.589407         -0.228078      -7.589407        -0.2278605      -7.589407        -0.2275938      -7.589407        -0.2272782      -7.589407        -0.2269139      -7.589407        -0.2265016      -7.589407        -0.2260416      -7.589407        -0.2255346      -7.589407        -0.2249812      -7.589407         -0.224382      -7.589407        -0.2237377      -7.589407        -0.2230492      -7.589407        -0.2223173      -7.589407        -0.2215429      -7.589407        -0.2207269      -7.589407        -0.2198703      -7.589407        -0.2189742      -7.589407        -0.2180396      -7.589407        -0.2170677      -7.589407        -0.2160598      -7.589407        -0.2150169      -7.589407        -0.2139404  
    -7.257097         -0.228709      -7.257097        -0.2288665      -7.257097        -0.2289809      -7.257097        -0.2290519      -7.257097        -0.2290796      -7.257097        -0.2290638      -7.257097        -0.2290046      -7.257097        -0.2289021      -7.257097        -0.2287564      -7.257097        -0.2285676      -7.257097         -0.228336      -7.257097        -0.2280619      -7.257097        -0.2277456      -7.257097        -0.2273875      -7.257097         -0.226988      -7.257097        -0.2265477      -7.257097         -0.226067      -7.257097        -0.2255465      -7.257097        -0.2249869      -7.257097        -0.2243888      -7.257097        -0.2237531      -7.257097        -0.2230804      -7.257097        -0.2223716      -7.257097        -0.2216275      -7.257097        -0.2208491      -7.257097        -0.2200372  
    -6.875213        -0.2286239      -6.875213        -0.2288971      -6.875213        -0.2291317      -6.875213        -0.2293276      -6.875213        -0.2294846      -6.875213        -0.2296023      -6.875213        -0.2296807      -6.875213        -0.2297197      -6.875213        -0.2297192      -6.875213        -0.2296792      -6.875213        -0.2295998      -6.875213        -0.2294811      -6.875213        -0.2293232      -6.875213        -0.2291263      -6.875213        -0.2288906      -6.875213        -0.2286165      -6.875213        -0.2283043      -6.875213        -0.2279543      -6.875213         -0.227567      -6.875213        -0.2271428      -6.875213        -0.2266823      -6.875213        -0.2261861      -6.875213        -0.2256546      -6.875213        -0.2250887      -6.875213        -0.2244889      -6.875213         -0.223856  
    -6.446364        -0.2284856      -6.446364        -0.2288321      -6.446364        -0.2291432      -6.446364        -0.2294184      -6.446364        -0.2296576      -6.446364        -0.2298602      -6.446364        -0.2300262      -6.446364        -0.2301553      -6.446364        -0.2302473      -6.446364        -0.2303022      -6.446364        -0.2303199      -6.446364        -0.2303003      -6.446364        -0.2302435      -6.446364        -0.2301495      -6.446364        -0.2300185      -6.446364        -0.2298507      -6.446364        -0.2296461      -6.446364        -0.2294051      -6.446364         -0.229128      -6.446364        -0.2288151      -6.446364        -0.2284668      -6.446364        -0.2280835      -6.446364        -0.2276657      -6.446364        -0.2272139      -6.446364        -0.2267286      -6.446364        -0.2262104  
    -5.973481        -0.2283712      -5.973481        -0.2287632      -5.973481        -0.2291215      -5.973481        -0.2294458      -5.973481        -0.2297356      -5.973481        -0.2299905      -5.973481        -0.2302104      -5.973481        -0.2303948      -5.973481        -0.2305436      -5.973481        -0.2306567      -5.973481        -0.2307337      -5.973481        -0.2307748      -5.973481        -0.2307797      -5.973481        -0.2307486      -5.973481        -0.2306814      -5.973481        -0.2305782      -5.973481        -0.2304392      -5.973481        -0.2302645      -5.973481        -0.2300544      -5.973481         -0.229809      -5.973481        -0.2295288      -5.973481        -0.2292139      -5.973481        -0.2288649      -5.973481        -0.2284821      -5.973481         -0.228066      -5.973481        -0.2276172  
