            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s    
    -8.440561       0.007798951      -8.440561        0.01176323      -8.440561         0.0159929      -8.440561        0.02048013      -8.440561        0.02521628      -8.440561        0.03019194      -8.440561        0.03539694      -8.440561        0.04082041      -8.440561        0.04645076      -8.440561        0.05227576      -8.440561        0.05828252      -8.440561        0.06445758      -8.440561        0.07078689      -8.440561        0.07725591      -8.440561        0.08384959      -8.440561        0.09055244      -8.440561        0.09734858      -8.440561         0.1042218      -8.440561         0.1111554      -8.440561         0.1181327      -8.440561         0.1251366      -8.440561         0.1321498      -8.440561         0.1391549      -8.440561         0.1461346      -8.440561         0.1530713      -8.440561         0.1599475  
    -8.382903       0.002629188      -8.382903       0.003922607      -8.382903       0.005660608      -8.382903       0.007842204      -8.382903        0.01046505      -8.382903        0.01352545      -8.382903        0.01701838      -8.382903        0.02093747      -8.382903        0.02527504      -8.382903        0.03002213      -8.382903         0.0351685      -8.382903        0.04070267      -8.382903        0.04661196      -8.382903        0.05288251      -8.382903         0.0594993      -8.382903        0.06644624      -8.382903        0.07370618      -8.382903        0.08126094      -8.382903        0.08909141      -8.382903        0.09717754      -8.382903         0.1054985      -8.382903         0.1140325      -8.382903         0.1227572      -8.382903         0.1316495      -8.382903         0.1406857      -8.382903         0.1498415  
    -8.267982      0.0004728902      -8.267982      0.0006839168      -8.267982       0.001435252      -8.267982       0.002729056      -8.267982       0.004565834      -8.267982       0.006944436      -8.267982       0.009862059      -8.267982        0.01331425      -8.267982        0.01729492      -8.267982        0.02179637      -8.267982        0.02680928      -8.267982        0.03232277      -8.267982        0.03832441      -8.267982        0.04480026      -8.267982        0.05173488      -8.267982        0.05911143      -8.267982        0.06691166      -8.267982        0.07511599      -8.267982        0.08370355      -8.267982        0.09265222      -8.267982         0.1019388      -8.267982         0.1115388      -8.267982         0.1214268      -8.267982         0.1315766      -8.267982         0.1419607      -8.267982         0.1525511  
    -8.096582      0.0004470793      -8.096582      0.0001122461      -8.096582      0.0003450561      -8.096582        0.00114917      -8.096582       0.002526508      -8.096582       0.004477244      -8.096582       0.006999804      -8.096582        0.01009087      -8.096582        0.01374538      -8.096582        0.01795655      -8.096582         0.0227159      -8.096582        0.02801326      -8.096582        0.03383679      -8.096582        0.04017303      -8.096582        0.04700695      -8.096582        0.05432194      -8.096582        0.06209991      -8.096582        0.07032129      -8.096582        0.07896515      -8.096582        0.08800916      -8.096582        0.09742975      -8.096582         0.1072021      -8.096582         0.1173003      -8.096582         0.1276972      -8.096582         0.1383648      -8.096582         0.1492742  
    -7.869874      0.0007464431      -7.869874      0.0001266798      -7.869874      5.550229e-05      -7.869874      0.0005371775      -7.869874       0.001574288      -7.869874       0.003167726      -7.869874       0.005316687      -7.869874        0.00801867      -7.869874        0.01126949      -7.869874        0.01506328      -7.869874        0.01939251      -7.869874        0.02424801      -7.869874        0.02961898      -7.869874        0.03549305      -7.869874        0.04185628      -7.869874        0.04869321      -7.869874         0.0559869      -7.869874        0.06371899      -7.869874        0.07186973      -7.869874        0.08041804      -7.869874        0.08934157      -7.869874        0.09861677      -7.869874         0.1082189      -7.869874         0.1181223      -7.869874            0.1283      -7.869874         0.1387244  
    -7.589407       0.000936932      -7.589407      0.0002093243      -7.589407     -1.108615e-05      -7.589407      0.0002800238      -7.589407       0.001085419      -7.589407       0.002406299      -7.589407       0.004242291      -7.589407       0.006591453      -7.589407       0.009450274      -7.589407        0.01281369      -7.589407        0.01667508      -7.589407        0.02102632      -7.589407        0.02585776      -7.589407        0.03115826      -7.589407        0.03691527      -7.589407        0.04311478      -7.589407        0.04974143      -7.589407        0.05677851      -7.589407        0.06420802      -7.589407        0.07201072      -7.589407        0.08016618      -7.589407        0.08865284      -7.589407        0.09744805      -7.589407         0.1065282      -7.589407         0.1158686      -7.589407         0.1254438  
    -7.257097      0.0009937633      -7.257097      0.0002557596      -7.257097     -2.014135e-05      -7.257097      0.0001701842      -7.257097      0.0008294402      -7.257097       0.001958902      -7.257097       0.003558413      -7.257097       0.005626383      -7.257097       0.008159792      -7.257097         0.0111542      -7.257097        0.01460375      -7.257097        0.01850119      -7.257097        0.02283791      -7.257097        0.02760391      -7.257097        0.03278791      -7.257097        0.03837729      -7.257097         0.0443582      -7.257097        0.05071555      -7.257097        0.05743307      -7.257097        0.06449334      -7.257097        0.07187787      -7.257097        0.07956711      -7.257097        0.08754054      -7.257097        0.09577669      -7.257097         0.1042532      -7.257097          0.112947  
    -6.875213      0.0009798393      -6.875213       0.000269071      -6.875213     -1.784168e-05      -6.875213      0.0001229697      -6.875213      0.0006940712      -6.875213       0.001696718      -6.875213       0.003130851      -6.875213       0.004995095      -6.875213       0.007286762      -6.875213        0.01000186      -6.875213         0.0131351      -6.875213         0.0166799      -6.875213        0.02062844      -6.875213        0.02497164      -6.875213         0.0296992      -6.875213        0.03479962      -6.875213        0.04026026      -6.875213        0.04606734      -6.875213          0.052206      -6.875213        0.05866033      -6.875213         0.0654134      -6.875213        0.07244734      -6.875213        0.07974337      -6.875213        0.08728183      -6.875213        0.09504228      -6.875213         0.1030035  
    -6.446364      0.0009454817      -6.446364      0.0002670073      -6.446364     -1.495471e-05      -6.446364      0.0001032524      -6.446364      0.0006240664      -6.446364       0.001548699      -6.446364       0.002877131      -6.446364       0.004608114      -6.446364       0.006739168      -6.446364       0.009266593      -6.446364        0.01218548      -6.446364         0.0154897      -6.446364        0.01917198      -6.446364        0.02322384      -6.446364        0.02763569      -6.446364         0.0323968      -6.446364        0.03749537      -6.446364        0.04291854      -6.446364        0.04865243      -6.446364        0.05468217      -6.446364        0.06099197      -6.446364        0.06756512      -6.446364        0.07438407      -6.446364        0.08143045      -6.446364        0.08868515      -6.446364        0.09612835  
    -5.973481      0.0009157603      -5.973481      0.0002610549      -5.973481     -1.318277e-05      -5.973481      9.657001e-05      -5.973481      0.0005926666      -5.973481       0.001476284      -5.973481       0.002747417      -5.973481       0.004404882      -5.973481       0.006446313      -5.973481       0.008868173      -5.973481        0.01166576      -5.973481        0.01483322      -5.973481        0.01836357      -5.973481         0.0222487      -5.973481         0.0264794      -5.973481         0.0310454      -5.973481        0.03593539      -5.973481        0.04113704      -5.973481        0.04663703      -5.973481        0.05242111      -5.973481        0.05847414      -5.973481        0.06478008      -5.973481        0.07132211      -5.973481         0.0780826      -5.973481        0.08504323      -5.973481        0.09218499  
    -5.459792      0.0008994962      -5.459792      0.0002562533      -5.459792     -1.241548e-05      -5.459792      9.696062e-05      -5.459792      0.0005867011      -5.459792       0.001457967      -5.459792       0.002710757      -5.459792       0.004343906      -5.459792       0.006355089      -5.459792       0.008740825      -5.459792        0.01149649      -5.459792        0.01461632      -5.459792        0.01809344      -5.459792        0.02191987      -5.459792        0.02608655      -5.459792        0.03058337      -5.459792        0.03539919      -5.459792        0.04052187      -5.459792        0.04593831      -5.459792        0.05163448      -5.459792        0.05759546      -5.459792        0.06380548      -5.459792        0.07024797      -5.459792        0.07690559      -5.459792        0.08376028      -5.459792        0.09079333  
    -4.908808      0.0008975821      -4.908808      0.0002539551      -4.908808     -1.238121e-05      -4.908808      0.0001020652      -4.908808      0.0005996265      -4.908808       0.001481468      -4.908808       0.002747585      -4.908808         0.0043968      -4.908808       0.006426767      -4.908808       0.008833977      -4.908808        0.01161377      -4.908808        0.01476033      -4.908808        0.01826673      -4.908808        0.02212494      -4.908808        0.02632582      -4.908808        0.03085918      -4.908808         0.0357138      -4.908808        0.04087746      -4.908808        0.04633694      -4.908808        0.05207813      -4.908808        0.05808599      -4.908808        0.06434462      -4.908808        0.07083734      -4.908808        0.07754668      -4.908808        0.08445445      -4.908808         0.0915418  
    -4.324291      0.0009073814      -4.324291      0.0002536458      -4.324291     -1.290826e-05      -4.324291      0.0001112937      -4.324291      0.0006286359      -4.324291       0.001540305      -4.324291       0.002846287      -4.324291       0.004545364      -4.324291        0.00663512      -4.324291       0.009111946      -4.324291        0.01197105      -4.324291        0.01520646      -4.324291        0.01881105      -4.324291        0.02277657      -4.324291        0.02709365      -4.324291        0.03175181      -4.324291        0.03673954      -4.324291        0.04204427      -4.324291        0.04765246      -4.324291         0.0535496      -4.324291        0.05972025      -4.324291        0.06614811      -4.324291        0.07281603      -4.324291        0.07970608      -4.324291        0.08679961      -4.324291        0.09407726  
    -3.710235      0.0009242858      -3.710235      0.0002536637      -3.710235      -1.38814e-05      -3.710235      0.0001253557      -3.710235      0.0006738413      -3.710235       0.001632795      -3.710235       0.003002187      -3.710235       0.004780734      -3.710235       0.006965905      -3.710235       0.009553928      -3.710235         0.0125398      -3.710235        0.01591728      -3.710235        0.01967896      -3.710235        0.02381622      -3.710235        0.02831929      -3.710235        0.03317726      -3.710235        0.03837811      -3.710235        0.04390878      -3.710235        0.04975513      -3.710235        0.05590205      -3.710235        0.06233347      -3.710235        0.06903239      -3.710235        0.07598098      -3.710235        0.08316054      -3.710235        0.09055165      -3.710235        0.09813414  
    -3.070834      0.0009413688      -3.070834      0.0002511108      -3.070834     -1.506888e-05      -3.070834      0.0001467011      -3.070834      0.0007389886      -3.070834        0.00176305      -3.070834       0.003218827      -3.070834       0.005104944      -3.070834       0.007418713      -3.070834        0.01015614      -3.070834        0.01331193      -3.070834        0.01687951      -3.070834        0.02085104      -3.070834        0.02521744      -3.070834         0.0299684      -3.070834        0.03509242      -3.070834        0.04057686      -3.070834        0.04640792      -3.070834        0.05257074      -3.070834        0.05904938      -3.070834        0.06582692      -3.070834        0.07288548      -3.070834        0.08020624      -3.070834        0.08776956      -3.070834        0.09555497      -3.070834         0.1035413  
    -2.410457      0.0009470751      -2.410457      0.0002409796      -2.410457     -1.561129e-05      -2.410457      0.0001813574      -2.410457      0.0008345593      -2.410457       0.001945278      -2.410457       0.003513404      -2.410457       0.005537432      -2.410457       0.008014465      -2.410457        0.01094022      -2.410457        0.01430905      -2.410457        0.01811394      -2.410457        0.02234654      -2.410457        0.02699717      -2.410457        0.03205488      -2.410457        0.03750744      -2.410457         0.0433414      -2.410457         0.0495421      -2.410457        0.05609376      -2.410457        0.06297946      -2.410457        0.07018123      -2.410457        0.07768008      -2.410457        0.08545605      -2.410457        0.09348829      -2.410457         0.1017551      -2.410457         0.1102339  
    -1.733614      0.0009191917      -1.733614      0.0002140714      -1.733614     -1.218761e-05      -1.733614      0.0002446401      -1.733614      0.0009873086      -1.733614       0.002217092      -1.733614       0.003933781      -1.733614        0.00613568      -1.733614       0.008819614      -1.733614        0.01198093      -1.733614        0.01561353      -1.733614        0.01970984      -1.733614         0.0242609      -1.733614        0.02925631      -1.733614        0.03468432      -1.733614        0.04053183      -1.733614        0.04678445      -1.733614        0.05342649      -1.733614        0.06044106      -1.733614        0.06781008      -1.733614        0.07551436      -1.733614        0.08353359      -1.733614        0.09184649      -1.733614         0.1004308      -1.733614         0.1092633      -1.733614           0.11832  
    -1.044928      0.0008069207      -1.044928      0.0001518879      -1.044928      9.009974e-06      -1.044928      0.0003826004      -1.044928         0.0012754      -1.044928       0.002688567      -1.044928       0.004621676      -1.044928       0.007072712      -1.044928        0.01003808      -1.044928        0.01351262      -1.044928        0.01748961      -1.044928        0.02196076      -1.044928        0.02691631      -1.044928        0.03234497      -1.044928          0.038234      -1.044928        0.04456922      -1.044928        0.05133507      -1.044928        0.05851464      -1.044928        0.06608971      -1.044928        0.07404082      -1.044928         0.0823473      -1.044928        0.09098733      -1.044928        0.09993802      -1.044928         0.1091754      -1.044928         0.1186747      -1.044928         0.1284101  
   -0.3491042      0.0004115573     -0.3491042     -4.857506e-06     -0.3491042      0.0001332228     -0.3491042      0.0008298455     -0.3491042       0.002087357     -0.3491042       0.003906394     -0.3491042       0.006285882     -0.3491042       0.009223037     -0.3491042        0.01271337     -0.3491042         0.0167507     -0.3491042        0.02132717     -0.3491042        0.02643326     -0.3491042        0.03205784     -0.3491042        0.03818816     -0.3491042         0.0448099     -0.3491042        0.05190722     -0.3491042         0.0594628     -0.3491042        0.06745787     -0.3491042        0.07587229     -0.3491042        0.08468455     -0.3491042         0.0938719     -0.3491042         0.1034104     -0.3491042         0.1132748     -0.3491042         0.1234391     -0.3491042         0.1338759     -0.3491042         0.1445571  
    0.3491042      0.0004115573      0.3491042     -4.857506e-06      0.3491042      0.0001332228      0.3491042      0.0008298455      0.3491042       0.002087357      0.3491042       0.003906394      0.3491042       0.006285882      0.3491042       0.009223037      0.3491042        0.01271337      0.3491042         0.0167507      0.3491042        0.02132717      0.3491042        0.02643326      0.3491042        0.03205784      0.3491042        0.03818816      0.3491042         0.0448099      0.3491042        0.05190722      0.3491042         0.0594628      0.3491042        0.06745787      0.3491042        0.07587229      0.3491042        0.08468455      0.3491042         0.0938719      0.3491042         0.1034104      0.3491042         0.1132748      0.3491042         0.1234391      0.3491042         0.1338759      0.3491042         0.1445571  
     1.044928      0.0008069207       1.044928      0.0001518879       1.044928      9.009974e-06       1.044928      0.0003826004       1.044928         0.0012754       1.044928       0.002688567       1.044928       0.004621676       1.044928       0.007072712       1.044928        0.01003808       1.044928        0.01351262       1.044928        0.01748961       1.044928        0.02196076       1.044928        0.02691631       1.044928        0.03234497       1.044928          0.038234       1.044928        0.04456922       1.044928        0.05133507       1.044928        0.05851464       1.044928        0.06608971       1.044928        0.07404082       1.044928         0.0823473       1.044928        0.09098733       1.044928        0.09993802       1.044928         0.1091754       1.044928         0.1186747       1.044928         0.1284101  
     1.733614      0.0009191917       1.733614      0.0002140714       1.733614     -1.218761e-05       1.733614      0.0002446401       1.733614      0.0009873086       1.733614       0.002217092       1.733614       0.003933781       1.733614        0.00613568       1.733614       0.008819614       1.733614        0.01198093       1.733614        0.01561353       1.733614        0.01970984       1.733614         0.0242609       1.733614        0.02925631       1.733614        0.03468432       1.733614        0.04053183       1.733614        0.04678445       1.733614        0.05342649       1.733614        0.06044106       1.733614        0.06781008       1.733614        0.07551436       1.733614        0.08353359       1.733614        0.09184649       1.733614         0.1004308       1.733614         0.1092633       1.733614           0.11832  
     2.410457      0.0009470751       2.410457      0.0002409796       2.410457     -1.561129e-05       2.410457      0.0001813574       2.410457      0.0008345593       2.410457       0.001945278       2.410457       0.003513404       2.410457       0.005537432       2.410457       0.008014465       2.410457        0.01094022       2.410457        0.01430905       2.410457        0.01811394       2.410457        0.02234654       2.410457        0.02699717       2.410457        0.03205488       2.410457        0.03750744       2.410457         0.0433414       2.410457         0.0495421       2.410457        0.05609376       2.410457        0.06297946       2.410457        0.07018123       2.410457        0.07768008       2.410457        0.08545605       2.410457        0.09348829       2.410457         0.1017551       2.410457         0.1102339  
     3.070834      0.0009413688       3.070834      0.0002511108       3.070834     -1.506888e-05       3.070834      0.0001467011       3.070834      0.0007389886       3.070834        0.00176305       3.070834       0.003218827       3.070834       0.005104944       3.070834       0.007418713       3.070834        0.01015614       3.070834        0.01331193       3.070834        0.01687951       3.070834        0.02085104       3.070834        0.02521744       3.070834         0.0299684       3.070834        0.03509242       3.070834        0.04057686       3.070834        0.04640792       3.070834        0.05257074       3.070834        0.05904938       3.070834        0.06582692       3.070834        0.07288548       3.070834        0.08020624       3.070834        0.08776956       3.070834        0.09555497       3.070834         0.1035413  
     3.710235      0.0009242858       3.710235      0.0002536637       3.710235      -1.38814e-05       3.710235      0.0001253557       3.710235      0.0006738413       3.710235       0.001632795       3.710235       0.003002187       3.710235       0.004780734       3.710235       0.006965905       3.710235       0.009553928       3.710235         0.0125398       3.710235        0.01591728       3.710235        0.01967896       3.710235        0.02381622       3.710235        0.02831929       3.710235        0.03317726       3.710235        0.03837811       3.710235        0.04390878       3.710235        0.04975513       3.710235        0.05590205       3.710235        0.06233347       3.710235        0.06903239       3.710235        0.07598098       3.710235        0.08316054       3.710235        0.09055165       3.710235        0.09813414  
     4.324291      0.0009073814       4.324291      0.0002536458       4.324291     -1.290826e-05       4.324291      0.0001112937       4.324291      0.0006286359       4.324291       0.001540305       4.324291       0.002846287       4.324291       0.004545364       4.324291        0.00663512       4.324291       0.009111946       4.324291        0.01197105       4.324291        0.01520646       4.324291        0.01881105       4.324291        0.02277657       4.324291        0.02709365       4.324291        0.03175181       4.324291        0.03673954       4.324291        0.04204427       4.324291        0.04765246       4.324291         0.0535496       4.324291        0.05972025       4.324291        0.06614811       4.324291        0.07281603       4.324291        0.07970608       4.324291        0.08679961       4.324291        0.09407726  
     4.908808      0.0008975821       4.908808      0.0002539551       4.908808     -1.238121e-05       4.908808      0.0001020652       4.908808      0.0005996265       4.908808       0.001481468       4.908808       0.002747585       4.908808         0.0043968       4.908808       0.006426767       4.908808       0.008833977       4.908808        0.01161377       4.908808        0.01476033       4.908808        0.01826673       4.908808        0.02212494       4.908808        0.02632582       4.908808        0.03085918       4.908808         0.0357138       4.908808        0.04087746       4.908808        0.04633694       4.908808        0.05207813       4.908808        0.05808599       4.908808        0.06434462       4.908808        0.07083734       4.908808        0.07754668       4.908808        0.08445445       4.908808         0.0915418  
     5.459792      0.0008994962       5.459792      0.0002562533       5.459792     -1.241548e-05       5.459792      9.696062e-05       5.459792      0.0005867011       5.459792       0.001457967       5.459792       0.002710757       5.459792       0.004343906       5.459792       0.006355089       5.459792       0.008740825       5.459792        0.01149649       5.459792        0.01461632       5.459792        0.01809344       5.459792        0.02191987       5.459792        0.02608655       5.459792        0.03058337       5.459792        0.03539919       5.459792        0.04052187       5.459792        0.04593831       5.459792        0.05163448       5.459792        0.05759546       5.459792        0.06380548       5.459792        0.07024797       5.459792        0.07690559       5.459792        0.08376028       5.459792        0.09079333  
     5.973481      0.0009157603       5.973481      0.0002610549       5.973481     -1.318277e-05       5.973481      9.657001e-05       5.973481      0.0005926666       5.973481       0.001476284       5.973481       0.002747417       5.973481       0.004404882       5.973481       0.006446313       5.973481       0.008868173       5.973481        0.01166576       5.973481        0.01483322       5.973481        0.01836357       5.973481         0.0222487       5.973481         0.0264794       5.973481         0.0310454       5.973481        0.03593539       5.973481        0.04113704       5.973481        0.04663703       5.973481        0.05242111       5.973481        0.05847414       5.973481        0.06478008       5.973481        0.07132211       5.973481         0.0780826       5.973481        0.08504323       5.973481        0.09218499  
     6.446364      0.0009454817       6.446364      0.0002670073       6.446364     -1.495471e-05       6.446364      0.0001032524       6.446364      0.0006240664       6.446364       0.001548699       6.446364       0.002877131       6.446364       0.004608114       6.446364       0.006739168       6.446364       0.009266593       6.446364        0.01218548       6.446364         0.0154897       6.446364        0.01917198       6.446364        0.02322384       6.446364        0.02763569       6.446364         0.0323968       6.446364        0.03749537       6.446364        0.04291854       6.446364        0.04865243       6.446364        0.05468217       6.446364        0.06099197       6.446364        0.06756512       6.446364        0.07438407       6.446364        0.08143045       6.446364        0.08868515       6.446364        0.09612835  
     6.875213      0.0009798393       6.875213       0.000269071       6.875213     -1.784168e-05       6.875213      0.0001229697       6.875213      0.0006940712       6.875213       0.001696718       6.875213       0.003130851       6.875213       0.004995095       6.875213       0.007286762       6.875213        0.01000186       6.875213         0.0131351       6.875213         0.0166799       6.875213        0.02062844       6.875213        0.02497164       6.875213         0.0296992       6.875213        0.03479962       6.875213        0.04026026       6.875213        0.04606734       6.875213          0.052206       6.875213        0.05866033       6.875213         0.0654134       6.875213        0.07244734       6.875213        0.07974337       6.875213        0.08728183       6.875213        0.09504228       6.875213         0.1030035  
     7.257097      0.0009937633       7.257097      0.0002557596       7.257097     -2.014135e-05       7.257097      0.0001701842       7.257097      0.0008294402       7.257097       0.001958902       7.257097       0.003558413       7.257097       0.005626383       7.257097       0.008159792       7.257097         0.0111542       7.257097        0.01460375       7.257097        0.01850119       7.257097        0.02283791       7.257097        0.02760391       7.257097        0.03278791       7.257097        0.03837729       7.257097         0.0443582       7.257097        0.05071555       7.257097        0.05743307       7.257097        0.06449334       7.257097        0.07187787       7.257097        0.07956711       7.257097        0.08754054       7.257097        0.09577669       7.257097         0.1042532       7.257097          0.112947  
