xflr5 v6.61

Plane name :        Conventional_FullAC
Polar name :        T1-60.0 m/s-VLM1
Freestream speed :  60.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.074608   0.005593   0.017802   0.023394   0.000000   0.000000  -0.697710  -0.000000  -0.000000   60.0000   -17.3961
   -4.000     0.000   0.021195   0.006100   0.017090   0.023190   0.000000   0.000000  -0.759394  -0.000000  -0.000000   60.0000    66.5474
   -3.000     0.000   0.117001   0.007250   0.014826   0.022076   0.000000   0.000000  -0.821006  -0.000000  -0.000000   60.0000    13.0143
   -2.000     0.000   0.212745   0.009041   0.012823   0.021864   0.000000   0.000000  -0.882364  -0.000000  -0.000000   60.0000     7.6824
   -1.000     0.000   0.308366   0.011472   0.011842   0.023314   0.000000   0.000000  -0.943367  -0.000000  -0.000000   60.0000     5.6609
    0.000     0.000   0.403800   0.014536   0.010899   0.025435   0.000000   0.000000  -1.003992  -0.000000  -0.000000   60.0000     4.5971
    1.000     0.000   0.498986   0.018228   0.009980   0.028208   0.000000   0.000000  -1.064169  -0.000000  -0.000000   60.0000     3.9408
    2.000     0.000   0.593861   0.022539   0.009069   0.031608   0.000000  -0.000000  -1.123823  -0.000000  -0.000000   60.0000     3.4957
    3.000     0.000   0.688364   0.027458   0.008268   0.035726   0.000000  -0.000000  -1.182882  -0.000000  -0.000000   60.0000     3.1740
    4.000     0.000   0.782435   0.032973   0.008197   0.041171   0.000000  -0.000000  -1.241272  -0.000000  -0.000000   60.0000     2.9307
    5.000     0.000   0.876013   0.039071   0.008106   0.047177   0.000000  -0.000000  -1.298939  -0.000000  -0.000000   60.0000     2.7404
    6.000     0.000   0.969039   0.045734   0.008000   0.053734   0.000000  -0.000000  -1.355813  -0.000000  -0.000000   60.0000     2.5875


