            VLM1 -  -10.0°-35.00m/s                VLM1 -   -9.0°-35.00m/s                VLM1 -   -8.0°-35.00m/s                VLM1 -   -7.0°-35.00m/s                VLM1 -   -6.0°-35.00m/s                VLM1 -   -5.0°-35.00m/s                VLM1 -   -4.0°-35.00m/s                VLM1 -   -3.0°-35.00m/s                VLM1 -   -2.0°-35.00m/s                VLM1 -   -1.0°-35.00m/s                VLM1 -    0.0°-35.00m/s                VLM1 -    1.0°-35.00m/s                VLM1 -    2.0°-35.00m/s                VLM1 -    3.0°-35.00m/s                VLM1 -    4.0°-35.00m/s                VLM1 -    5.0°-35.00m/s                VLM1 -    6.0°-35.00m/s                VLM1 -    7.0°-35.00m/s                VLM1 -    8.0°-35.00m/s                VLM1 -    9.0°-35.00m/s                VLM1 -   10.0°-35.00m/s                VLM1 -   11.0°-35.00m/s                VLM1 -   12.0°-35.00m/s                VLM1 -   13.0°-35.00m/s    
    -9.982922        -0.1826234      -9.982922        -0.1811587      -9.982922        -0.1795975      -9.982922        -0.1779416      -9.982922         -0.176193      -9.982922         -0.174354      -9.982922        -0.1724267      -9.982922        -0.1704134      -9.982922        -0.1683167      -9.982922        -0.1661391      -9.982922        -0.1638833      -9.982922        -0.1615519      -9.982922        -0.1591478      -9.982922         -0.156674      -9.982922        -0.1541335      -9.982922        -0.1515293      -9.982922        -0.1488647      -9.982922        -0.1461429      -9.982922        -0.1433671      -9.982922        -0.1405409      -9.982922        -0.1376676      -9.982922        -0.1347507      -9.982922        -0.1317937      -9.982922        -0.1288004  
    -9.914729        -0.1930267      -9.914729        -0.1917974      -9.914729        -0.1904817      -9.914729        -0.1890814      -9.914729        -0.1875981      -9.914729        -0.1860337      -9.914729          -0.18439      -9.914729         -0.182669      -9.914729        -0.1808729      -9.914729        -0.1790038      -9.914729         -0.177064      -9.914729        -0.1750559      -9.914729        -0.1729819      -9.914729        -0.1708446      -9.914729        -0.1686464      -9.914729        -0.1663903      -9.914729        -0.1640788      -9.914729        -0.1617147      -9.914729        -0.1593011      -9.914729        -0.1568408      -9.914729        -0.1543367      -9.914729        -0.1517921      -9.914729        -0.1492099      -9.914729        -0.1465933  
    -9.778808        -0.2115122      -9.778808        -0.2105928      -9.778808        -0.2095943      -9.778808        -0.2085178      -9.778808        -0.2073648      -9.778808        -0.2061365      -9.778808        -0.2048345      -9.778808        -0.2034604      -9.778808        -0.2020158      -9.778808        -0.2005025      -9.778808        -0.1989224      -9.778808        -0.1972774      -9.778808        -0.1955694      -9.778808        -0.1938006      -9.778808        -0.1919731      -9.778808        -0.1900891      -9.778808         -0.188151      -9.778808        -0.1861611      -9.778808        -0.1841218      -9.778808        -0.1820356      -9.778808        -0.1799051      -9.778808        -0.1777328      -9.778808        -0.1755214      -9.778808        -0.1732736  
    -9.576088        -0.2224568      -9.576088        -0.2218779      -9.576088        -0.2212298      -9.576088        -0.2205132      -9.576088         -0.219729      -9.576088        -0.2188782      -9.576088        -0.2179618      -9.576088        -0.2169809      -9.576088        -0.2159367      -9.576088        -0.2148304      -9.576088        -0.2136636      -9.576088        -0.2124374      -9.576088        -0.2111536      -9.576088        -0.2098135      -9.576088        -0.2084189      -9.576088        -0.2069714      -9.576088        -0.2054728      -9.576088         -0.203925      -9.576088        -0.2023297      -9.576088        -0.2006891      -9.576088        -0.1990049      -9.576088        -0.1972795      -9.576088        -0.1955147      -9.576088        -0.1937128  
    -9.307953        -0.2270463      -9.307953         -0.226784      -9.307953         -0.226463      -9.307953        -0.2260837      -9.307953        -0.2256465      -9.307953        -0.2251519      -9.307953        -0.2246007      -9.307953        -0.2239934      -9.307953        -0.2233308      -9.307953        -0.2226137      -9.307953         -0.221843      -9.307953        -0.2210195      -9.307953        -0.2201444      -9.307953        -0.2192187      -9.307953        -0.2182434      -9.307953        -0.2172199      -9.307953        -0.2161493      -9.307953        -0.2150329      -9.307953        -0.2138722      -9.307953        -0.2126684      -9.307953        -0.2114232      -9.307953         -0.210138      -9.307953        -0.2088143      -9.307953        -0.2074538  
    -8.976235         -0.228467      -8.976235        -0.2284541      -8.976235        -0.2283916      -8.976235        -0.2282794      -8.976235        -0.2281178      -8.976235        -0.2279068      -8.976235        -0.2276469      -8.976235        -0.2273383      -8.976235        -0.2269814      -8.976235        -0.2265765      -8.976235        -0.2261243      -8.976235        -0.2256253      -8.976235          -0.22508      -8.976235        -0.2244891      -8.976235        -0.2238534      -8.976235        -0.2231736      -8.976235        -0.2224506      -8.976235        -0.2216852      -8.976235        -0.2208784      -8.976235        -0.2200311      -8.976235        -0.2191444      -8.976235        -0.2182194      -8.976235        -0.2172572      -8.976235        -0.2162589  
    -8.583201        -0.2287085      -8.583201        -0.2288704      -8.583201        -0.2289893      -8.583201        -0.2290653      -8.583201         -0.229098      -8.583201        -0.2290876      -8.583201         -0.229034      -8.583201        -0.2289373      -8.583201        -0.2287976      -8.583201        -0.2286151      -8.583201          -0.22839      -8.583201        -0.2281225      -8.583201        -0.2278131      -8.583201         -0.227462      -8.583201        -0.2270697      -8.583201        -0.2266367      -8.583201        -0.2261635      -8.583201        -0.2256508      -8.583201         -0.225099      -8.583201        -0.2245089      -8.583201        -0.2238812      -8.583201        -0.2232167      -8.583201        -0.2225161      -8.583201        -0.2217804  
    -8.131535        -0.2286181      -8.131535        -0.2288945      -8.131535        -0.2291327      -8.131535        -0.2293323      -8.131535        -0.2294931      -8.131535         -0.229615      -8.131535        -0.2296977      -8.131535        -0.2297412      -8.131535        -0.2297455      -8.131535        -0.2297104      -8.131535        -0.2296361      -8.131535        -0.2295227      -8.131535        -0.2293702      -8.131535        -0.2291789      -8.131535         -0.228949      -8.131535        -0.2286809      -8.131535        -0.2283747      -8.131535        -0.2280309      -8.131535        -0.2276499      -8.131535        -0.2272322      -8.131535        -0.2267782      -8.131535        -0.2262886      -8.131535        -0.2257639      -8.131535        -0.2252048  
    -7.624322        -0.2284791      -7.624322        -0.2288279      -7.624322        -0.2291416      -7.624322        -0.2294196      -7.624322        -0.2296616      -7.624322        -0.2298674      -7.624322        -0.2300367      -7.624322        -0.2301692      -7.624322        -0.2302649      -7.624322        -0.2303235      -7.624322        -0.2303451      -7.624322        -0.2303297      -7.624322        -0.2302771      -7.624322        -0.2301875      -7.624322        -0.2300611      -7.624322        -0.2298978      -7.624322        -0.2296981      -7.624322         -0.229462      -7.624322        -0.2291899      -7.624322        -0.2288821      -7.624322        -0.2285391      -7.624322        -0.2281611      -7.624322        -0.2277487      -7.624322        -0.2273023  
    -7.065027        -0.2283653      -7.065027         -0.228759      -7.065027        -0.2291192      -7.065027        -0.2294455      -7.065027        -0.2297375      -7.065027        -0.2299948      -7.065027        -0.2302171      -7.065027        -0.2304042      -7.065027        -0.2305558      -7.065027        -0.2306717      -7.065027        -0.2307518      -7.065027         -0.230796      -7.065027        -0.2308043      -7.065027        -0.2307766      -7.065027        -0.2307129      -7.065027        -0.2306134      -7.065027        -0.2304782      -7.065027        -0.2303074      -7.065027        -0.2301012      -7.065027        -0.2298599      -7.065027        -0.2295838      -7.065027        -0.2292732      -7.065027        -0.2289285      -7.065027        -0.2285502  
