            VLM1 -  -10.0°-35.00m/s                VLM1 -   -9.0°-35.00m/s                VLM1 -   -8.0°-35.00m/s                VLM1 -   -7.0°-35.00m/s                VLM1 -   -6.0°-35.00m/s                VLM1 -   -5.0°-35.00m/s                VLM1 -   -4.0°-35.00m/s                VLM1 -   -3.0°-35.00m/s                VLM1 -   -2.0°-35.00m/s                VLM1 -   -1.0°-35.00m/s                VLM1 -    0.0°-35.00m/s                VLM1 -    1.0°-35.00m/s                VLM1 -    2.0°-35.00m/s                VLM1 -    3.0°-35.00m/s                VLM1 -    4.0°-35.00m/s                VLM1 -    5.0°-35.00m/s                VLM1 -    6.0°-35.00m/s                VLM1 -    7.0°-35.00m/s                VLM1 -    8.0°-35.00m/s                VLM1 -    9.0°-35.00m/s                VLM1 -   10.0°-35.00m/s                VLM1 -   11.0°-35.00m/s                VLM1 -   12.0°-35.00m/s                VLM1 -   13.0°-35.00m/s    
    -9.982922        0.03930408      -9.982922        0.06585363      -9.982922         0.0924939      -9.982922         0.1191924      -9.982922         0.1459167      -9.982922         0.1726341      -9.982922         0.1993122      -9.982922         0.2259184      -9.982922         0.2524203      -9.982922         0.2787856      -9.982922         0.3049822      -9.982922         0.3309782      -9.982922         0.3567419      -9.982922         0.3822419      -9.982922         0.4074471      -9.982922         0.4323269      -9.982922          0.456851      -9.982922         0.4809893      -9.982922         0.5047127      -9.982922          0.527992      -9.982922          0.550799      -9.982922          0.573106      -9.982922         0.5948856      -9.982922         0.6161114  
    -9.914729       -0.01493888      -9.914729        0.02523606      -9.914729        0.06560425      -9.914729         0.1061165      -9.914729         0.1467235      -9.914729         0.1873757      -9.914729         0.2280237      -9.914729         0.2686178      -9.914729         0.3091087      -9.914729         0.3494469      -9.914729         0.3895835      -9.914729         0.4294693      -9.914729          0.469056      -9.914729         0.5082951      -9.914729          0.547139      -9.914729         0.5855403      -9.914729         0.6234522      -9.914729         0.6608286      -9.914729         0.6976238      -9.914729         0.7337931      -9.914729         0.7692923      -9.914729         0.8040783      -9.914729         0.8381087      -9.914729         0.8713419  
    -9.778808       -0.05880671      -9.778808      -0.004556758      -9.778808        0.04998827      -9.778808         0.1047619      -9.778808         0.1596975      -9.778808          0.214728      -9.778808         0.2697864      -9.778808         0.3248057      -9.778808         0.3797187      -9.778808         0.4344587      -9.778808         0.4889588      -9.778808         0.5431528      -9.778808         0.5969745      -9.778808         0.6503585      -9.778808         0.7032396      -9.778808         0.7555534      -9.778808         0.8072363      -9.778808         0.8582252      -9.778808          0.908458      -9.778808         0.9578735      -9.778808          1.006411      -9.778808          1.054013      -9.778808           1.10062      -9.778808          1.146175  
    -9.576088       -0.09687421      -9.576088       -0.03080753      -9.576088        0.03563923      -9.576088         0.1023851      -9.576088         0.1693488      -9.576088         0.2364488      -9.576088         0.3036032      -9.576088         0.3707303      -9.576088         0.4377482      -9.576088         0.5045754      -9.576088         0.5711304      -9.576088         0.6373321      -9.576088         0.7030998      -9.576088         0.7683535      -9.576088         0.8330136      -9.576088         0.8970014      -9.576088         0.9602389      -9.576088          1.022649      -9.576088          1.084156      -9.576088          1.144684      -9.576088          1.204161      -9.576088          1.262512      -9.576088          1.319669      -9.576088          1.375559  
    -9.307953        -0.1277808      -9.307953       -0.05255817      -9.307953        0.02311066      -9.307953        0.09913354      -9.307953         0.1754178      -9.307953         0.2518706      -9.307953         0.3283988      -9.307953          0.404909      -9.307953         0.4813081      -9.307953         0.5575031      -9.307953          0.633401      -9.307953         0.7089094      -9.307953         0.7839363      -9.307953         0.8583903      -9.307953         0.9321807      -9.307953          1.005218      -9.307953          1.077412      -9.307953          1.148676      -9.307953          1.218923      -9.307953          1.288066      -9.307953          1.356023      -9.307953           1.42271      -9.307953          1.488046      -9.307953           1.55195  
    -8.976235        -0.1508284      -8.976235       -0.06889759      -8.976235        0.01352798      -8.976235        0.09634784      -8.976235         0.1794611      -8.976235         0.2627665      -8.976235         0.3461625      -8.976235         0.4295475      -8.976235           0.51282      -8.976235         0.5958784      -8.976235         0.6786217      -8.976235         0.7609489      -8.976235         0.8427598      -8.976235         0.9239546      -8.976235          1.004435      -8.976235          1.084102      -8.976235          1.162859      -8.976235          1.240609      -8.976235           1.31726      -8.976235          1.392716      -8.976235          1.466886      -8.976235           1.53968      -8.976235          1.611008      -8.976235          1.680785  
    -8.583201        -0.1668549      -8.583201       -0.08022547      -8.583201       0.006932457      -8.583201        0.09451269      -8.583201         0.1824085      -8.583201         0.2705129      -8.583201         0.3587184      -8.583201         0.4469176      -8.583201         0.5350031      -8.583201         0.6228675      -8.583201         0.7104038      -8.583201         0.7975054      -8.583201          0.884066      -8.583201         0.9699803      -8.583201          1.055144      -8.583201          1.139452      -8.583201          1.222803      -8.583201          1.305095      -8.583201          1.386228      -8.583201          1.466102      -8.583201          1.544621      -8.583201          1.621689      -8.583201          1.697212      -8.583201          1.771098  
    -8.131535        -0.1773726      -8.131535       -0.08759101      -8.131535       0.002741532      -8.131535        0.09351499      -8.131535         0.1846188      -8.131535         0.2759419      -8.131535         0.3673731      -8.131535          0.458801      -8.131535         0.5501141      -8.131535         0.6412013      -8.131535         0.7319516      -8.131535         0.8222543      -8.131535         0.9119995      -8.131535          1.001078      -8.131535          1.089381      -8.131535          1.176801      -8.131535          1.263231      -8.131535          1.348567      -8.131535          1.432704      -8.131535           1.51554      -8.131535          1.596973      -8.131535          1.676905      -8.131535          1.755238      -8.131535          1.831878  
    -7.624322        -0.1838359      -7.624322       -0.09205398      -7.624322      0.0002930509      -7.624322        0.09309269      -7.624322         0.1862319      -7.624322         0.2795971      -7.624322         0.3730747      -7.624322         0.4665507      -7.624322         0.5599113      -7.624322         0.6530427      -7.624322         0.7458314      -7.624322         0.8381643      -7.624322         0.9299291      -7.624322          1.021014      -7.624322          1.111308      -7.624322            1.2007      -7.624322          1.289083      -7.624322          1.376349      -7.624322           1.46239      -7.624322          1.547103      -7.624322          1.630384      -7.624322          1.712131      -7.624322          1.792245      -7.624322          1.870629  
    -7.065027        -0.1873683      -7.065027       -0.09443631      -7.065027     -0.0009311481      -7.065027        0.09303326      -7.065027         0.1873424      -7.065027         0.2818814      -7.065027         0.3765351      -7.065027         0.4711882      -7.065027         0.5657253      -7.065027         0.6600312      -7.065027         0.7539911      -7.065027         0.8474905      -7.065027         0.9404154      -7.065027          1.032653      -7.065027           1.12409      -7.065027          1.214616      -7.065027           1.30412      -7.065027          1.392493      -7.065027          1.479628      -7.065027          1.565419      -7.065027           1.64976      -7.065027          1.732549      -7.065027          1.813686      -7.065027          1.893071  
