            VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s                VLM1 -   16.0°-60.00m/s    
    -7.276552        0.04673993      -7.276552        0.07225848      -7.276552        0.09785797      -7.276552         0.1235072      -7.276552          0.149175      -7.276552           0.17483      -7.276552         0.2004409      -7.276552         0.2259767      -7.276552         0.2514061      -7.276552         0.2766982      -7.276552         0.3018222      -7.276552         0.3267474      -7.276552         0.3514435      -7.276552         0.3758804      -7.276552         0.4000283      -7.276552         0.4238579      -7.276552           0.44734      -7.276552         0.4704461      -7.276552          0.493148      -7.276552         0.5154181      -7.276552         0.5372291      -7.276552         0.5585547      -7.276552         0.5793687      -7.276552         0.5996458      -7.276552         0.6193613      -7.276552         0.6384912      -7.276552         0.6570122  
    -7.226846       -0.00798296      -7.226846        0.03001025      -7.226846        0.06817771      -7.226846         0.1064729      -7.226846         0.1448492      -7.226846         0.1832598      -7.226846          0.221658      -7.226846         0.2599969      -7.226846         0.2982299      -7.226846         0.3363103      -7.226846         0.3741918      -7.226846         0.4118282      -7.226846         0.4491736      -7.226846         0.4861826      -7.226846         0.5228101      -7.226846         0.5590114      -7.226846         0.5947425      -7.226846         0.6299598      -7.226846         0.6646204      -7.226846          0.698682      -7.226846         0.7321033      -7.226846         0.7648433      -7.226846         0.7968624      -7.226846         0.8281214      -7.226846         0.8585822      -7.226846         0.8882079      -7.226846         0.9169622  
    -7.127773       -0.05074475      -7.127773      0.0004723251      -7.127773        0.05196095      -7.127773         0.1036584      -7.127773         0.1555017      -7.127773         0.2074276      -7.127773          0.259373      -7.127773         0.3112744      -7.127773         0.3630688      -7.127773         0.4146929      -7.127773          0.466084      -7.127773         0.5171793      -7.127773         0.5679166      -7.127773         0.6182341      -7.127773         0.6680705      -7.127773         0.7173651      -7.127773         0.7660579      -7.127773         0.8140894      -7.127773         0.8614012      -7.127773         0.9079357      -7.127773         0.9536361      -7.127773         0.9984468      -7.127773          1.042313      -7.127773          1.085182      -7.127773             1.127      -7.127773          1.167718      -7.127773          1.207285  
     -6.98001       -0.08754634       -6.98001       -0.02494849       -6.98001        0.03800381       -6.98001         0.1012339       -6.98001         0.1646646       -6.98001         0.2282188       -6.98001          0.291819       -6.98001         0.3553877       -6.98001         0.4188474       -6.98001         0.4821209       -6.98001         0.5451311       -6.98001         0.6078011       -6.98001         0.6700547       -6.98001          0.731816       -6.98001         0.7930097       -6.98001         0.8535613       -6.98001         0.9133971       -6.98001          0.972444       -6.98001           1.03063       -6.98001          1.087885       -6.98001          1.144138       -6.98001          1.199321       -6.98001          1.253368       -6.98001          1.306211       -6.98001          1.357787       -6.98001          1.408032       -6.98001          1.456886  
    -6.784567        -0.1180003      -6.784567       -0.04634985      -6.784567        0.02572105      -6.784567         0.0981246      -6.784567         0.1707726      -6.784567         0.2435765      -6.784567         0.3164476      -6.784567         0.3892972      -6.784567         0.4620365      -6.784567         0.5345768      -6.784567         0.6068299      -6.784567         0.6787075      -6.784567         0.7501223      -6.784567         0.8209872      -6.784567         0.8912157      -6.784567         0.9607225      -6.784567          1.029423      -6.784567          1.097233      -6.784567           1.16407      -6.784567          1.229853      -6.784567          1.294502      -6.784567          1.357937      -6.784567          1.420082      -6.784567          1.480861      -6.784567          1.540199      -6.784567          1.598025      -6.784567          1.654269  
    -6.542778        -0.1414437      -6.542778       -0.06297823      -6.542778        0.01595744      -6.542778         0.0952671      -6.542778         0.1748541      -6.542778         0.2546216      -6.542778         0.3344723      -6.542778         0.4143089      -6.542778         0.4940341      -6.542778         0.5735509      -6.542778         0.6527624      -6.542778          0.731572      -6.542778         0.8098837      -6.542778         0.8876022      -6.542778         0.9646327      -6.542778          1.040881      -6.542778          1.116255      -6.542778          1.190663      -6.542778          1.264013      -6.542778          1.336217      -6.542778          1.407186      -6.542778          1.476834      -6.542778          1.545076      -6.542778          1.611829      -6.542778          1.677012      -6.542778          1.740545      -6.542778          1.802352  
    -6.256295        -0.1582906      -6.256295        -0.0749259      -6.256295       0.008944615      -6.256295        0.09321872      -6.256295         0.1777937      -6.256295         0.2625666      -6.256295         0.3474341      -6.256295         0.4322928      -6.256295         0.5170393      -6.256295         0.6015703      -6.256295         0.6857829      -6.256295         0.7695744      -6.256295         0.8528429      -6.256295         0.9354868      -6.256295          1.017405      -6.256295          1.098499      -6.256295          1.178669      -6.256295          1.257817      -6.256295          1.335847      -6.256295          1.412664      -6.256295          1.488175      -6.256295          1.562286      -6.256295          1.634909      -6.256295          1.705955      -6.256295          1.775337      -6.256295           1.84297      -6.256295          1.908772  
    -5.927076        -0.1696602      -5.927076       -0.08292952      -5.927076       0.004331203      -5.927076        0.09201568      -5.927076         0.1800171      -5.927076         0.2682282      -5.927076         0.3565415      -5.927076         0.4448495      -5.927076         0.5330445      -5.927076         0.6210192      -5.927076         0.7086662      -5.927076         0.7958789      -5.927076         0.8825509      -5.927076         0.9685767      -5.927076          1.053852      -5.927076          1.138271      -5.927076          1.221733      -5.927076          1.304136      -5.927076          1.385379      -5.927076          1.465363      -5.927076           1.54399      -5.927076          1.621166      -5.927076          1.696795      -5.927076          1.770786      -5.927076          1.843049      -5.927076          1.913496      -5.927076           1.98204  
    -5.557368        -0.1767941      -5.557368       -0.08787968      -5.557368       0.001580389      -5.557368        0.09147715      -5.557368         0.1817011      -5.557368         0.2721422      -5.557368         0.3626905      -5.557368         0.4532354      -5.557368         0.5436668      -5.557368         0.6338744      -5.557368         0.7237483      -5.557368         0.8131791      -5.557368         0.9020578      -5.557368         0.9902761      -5.557368          1.077726      -5.557368          1.164302      -5.557368          1.249898      -5.557368           1.33441      -5.557368          1.417735      -5.557368          1.499771      -5.557368          1.580418      -5.557368          1.659579      -5.557368          1.737156      -5.557368          1.813056      -5.557368          1.887185      -5.557368          1.959453      -5.557368          2.029773  
    -5.149698        -0.1807415      -5.149698       -0.09054168      -5.149698      0.0002128643      -5.149698         0.0914116      -5.149698         0.1829434      -5.149698         0.2746968      -5.149698         0.3665599      -5.149698         0.4584209      -5.149698         0.5501679      -5.149698          0.641689      -5.149698         0.7328727      -5.149698          0.823608      -5.149698         0.9137843      -5.149698          1.003292      -5.149698          1.092021      -5.149698          1.179865      -5.149698          1.266715      -5.149698          1.352467      -5.149698          1.437015      -5.149698          1.520257      -5.149698          1.602092      -5.149698          1.682418      -5.149698           1.76114      -5.149698           1.83816      -5.149698          1.913385      -5.149698          1.986724      -5.149698          2.058086  
    -4.706851        -0.1822766      -4.706851        -0.0914768      -4.706851     -0.0001181731      -4.706851        0.09168803      -4.706851         0.1838299      -4.706851         0.2761953      -4.706851         0.3686716      -4.706851         0.4611462      -4.706851         0.5535063      -4.706851         0.6456396      -4.706851         0.7374336      -4.706851         0.8287766      -4.706851         0.9195573      -4.706851          1.009665      -4.706851           1.09899      -4.706851          1.187424      -4.706851          1.274858      -4.706851          1.361187      -4.706851          1.446304      -4.706851          1.530107      -4.706851          1.612493      -4.706851          1.693362      -4.706851          1.772615      -4.706851          1.850156      -4.706851          1.925891      -4.706851          1.999726      -4.706851          2.071572  
    -4.231851        -0.1819203      -4.231851       -0.09105466      -4.231851      0.0003700948      -4.231851         0.0922426      -4.231851         0.1844509      -4.231851         0.2768827      -4.231851         0.3694254      -4.231851         0.4619661      -4.231851         0.5543923      -4.231851         0.6465912      -4.231851         0.7384505      -4.231851         0.8298583      -4.231851         0.9207033      -4.231851          1.010875      -4.231851          1.100263      -4.231851          1.188759      -4.231851          1.276254      -4.231851          1.362643      -4.231851           1.44782      -4.231851          1.531681      -4.231851          1.614124      -4.231851          1.695049      -4.231851          1.774357      -4.231851          1.851952      -4.231851          1.927738      -4.231851          2.001624      -4.231851          2.073519  
    -3.727943        -0.1799873      -3.727943       -0.08948793      -3.727943       0.001567654      -3.727943        0.09306856      -3.727943         0.1849033      -3.727943           0.27696      -3.727943         0.3691265      -3.727943         0.4612905      -3.727943         0.5533397      -3.727943          0.645162      -3.727943         0.7366455      -3.727943         0.8276787      -3.727943         0.9181508      -3.727943          1.007951      -3.727943          1.096971      -3.727943          1.185102      -3.727943          1.272236      -3.727943          1.358267      -3.727943          1.443091      -3.727943          1.526603      -3.727943          1.608703      -3.727943           1.68929      -3.727943          1.768267      -3.727943          1.845536      -3.727943          1.921004      -3.727943          1.994578      -3.727943           2.06617  
    -3.198569        -0.1766257      -3.198569       -0.08686174      -3.198569       0.003452931      -3.198569        0.09420822      -3.198569         0.1852936      -3.198569          0.276598      -3.198569         0.3680103      -3.198569          0.459419      -3.198569         0.5507128      -3.198569         0.6417805      -3.198569         0.7325112      -3.198569         0.8227942      -3.198569         0.9125196      -3.198569          1.001578      -3.198569          1.089861      -3.198569          1.177261      -3.198569          1.263672      -3.198569          1.348987      -3.198569          1.433104      -3.198569           1.51592      -3.198569          1.597334      -3.198569          1.677247      -3.198569          1.755561      -3.198569          1.832181      -3.198569          1.907013      -3.198569          1.979967      -3.198569          2.050953  
    -2.647346        -0.1718412      -2.647346       -0.08314971      -2.647346       0.006084266      -2.647346        0.09575204      -2.647346         0.1857444      -2.647346         0.2759516      -2.647346         0.3662638      -2.647346          0.456571      -2.647346         0.5467632      -2.647346         0.6367304      -2.647346         0.7263631      -2.647346         0.8155521      -2.647346         0.9041886      -2.647346         0.9921647      -2.647346          1.079373      -2.647346          1.165708      -2.647346          1.251064      -2.647346          1.335336      -2.647346          1.418423      -2.647346          1.500223      -2.647346          1.580637      -2.647346          1.659566      -2.647346          1.736914      -2.647346          1.812587      -2.647346          1.886493      -2.647346          1.958542      -2.647346          2.028646  
    -2.078039        -0.1655024      -2.078039       -0.07821623      -2.078039       0.009601747      -2.078039        0.09784451      -2.078039         0.1864046      -2.078039          0.275174      -2.078039         0.3640446      -2.078039         0.4529082      -2.078039         0.5416565      -2.078039         0.6301814      -2.078039          0.718375      -2.078039         0.8061298      -2.078039          0.893339      -2.078039         0.9798962      -2.078039          1.065696      -2.078039          1.150634      -2.078039          1.234607      -2.078039          1.317512      -2.078039          1.399248      -2.078039          1.479716      -2.078039          1.558817      -2.078039          1.636456      -2.078039          1.712538      -2.078039           1.78697      -2.078039          1.859661      -2.078039          1.930523      -2.078039          1.999469  
