               VLM1 -  -10.0°-60.00m/s                VLM1 -   -9.0°-60.00m/s                VLM1 -   -8.0°-60.00m/s                VLM1 -   -7.0°-60.00m/s                VLM1 -   -6.0°-60.00m/s                VLM1 -   -5.0°-60.00m/s                VLM1 -   -4.0°-60.00m/s                VLM1 -   -3.0°-60.00m/s                VLM1 -   -2.0°-60.00m/s                VLM1 -   -1.0°-60.00m/s                VLM1 -    0.0°-60.00m/s                VLM1 -    1.0°-60.00m/s                VLM1 -    2.0°-60.00m/s                VLM1 -    3.0°-60.00m/s                VLM1 -    4.0°-60.00m/s                VLM1 -    5.0°-60.00m/s                VLM1 -    6.0°-60.00m/s                VLM1 -    7.0°-60.00m/s                VLM1 -    8.0°-60.00m/s                VLM1 -    9.0°-60.00m/s                VLM1 -   10.0°-60.00m/s                VLM1 -   11.0°-60.00m/s                VLM1 -   12.0°-60.00m/s                VLM1 -   13.0°-60.00m/s                VLM1 -   14.0°-60.00m/s                VLM1 -   15.0°-60.00m/s                VLM1 -   16.0°-60.00m/s    
    -7.276552        -0.1845476      -7.276552        -0.1830828      -7.276552        -0.1815189      -7.276552        -0.1798579      -7.276552        -0.1781016      -7.276552        -0.1762524      -7.276552        -0.1743123      -7.276552        -0.1722839      -7.276552        -0.1701696      -7.276552        -0.1679719      -7.276552        -0.1656935      -7.276552        -0.1633372      -7.276552        -0.1609059      -7.276552        -0.1584025      -7.276552        -0.1558301      -7.276552        -0.1531919      -7.276552        -0.1504909      -7.276552        -0.1477306      -7.276552        -0.1449142      -7.276552        -0.1420453      -7.276552        -0.1391273      -7.276552        -0.1361638      -7.276552        -0.1331583      -7.276552        -0.1301146      -7.276552        -0.1270363      -7.276552        -0.1239272      -7.276552        -0.1207911  
    -7.226846        -0.1910864      -7.226846        -0.1898357      -7.226846         -0.188497      -7.226846         -0.187072      -7.226846        -0.1855626      -7.226846        -0.1839704      -7.226846        -0.1822975      -7.226846        -0.1805458      -7.226846        -0.1787176      -7.226846         -0.176815      -7.226846        -0.1748403      -7.226846        -0.1727961      -7.226846        -0.1706847      -7.226846        -0.1685087      -7.226846        -0.1662708      -7.226846        -0.1639737      -7.226846        -0.1616202      -7.226846        -0.1592132      -7.226846        -0.1567555      -7.226846        -0.1542503      -7.226846        -0.1517006      -7.226846        -0.1491094      -7.226846        -0.1464799      -7.226846        -0.1438153      -7.226846        -0.1411189      -7.226846        -0.1383939      -7.226846        -0.1356438  
    -7.127773         -0.208319      -7.127773        -0.2073461      -7.127773        -0.2062919      -7.127773        -0.2051577      -7.127773        -0.2039448      -7.127773        -0.2026548      -7.127773        -0.2012891      -7.127773        -0.1998495      -7.127773        -0.1983378      -7.127773        -0.1967557      -7.127773        -0.1951052      -7.127773        -0.1933883      -7.127773         -0.191607      -7.127773        -0.1897637      -7.127773        -0.1878604      -7.127773        -0.1858996      -7.127773        -0.1838836      -7.127773        -0.1818149      -7.127773        -0.1796959      -7.127773        -0.1775293      -7.127773        -0.1753178      -7.127773        -0.1730639      -7.127773        -0.1707705      -7.127773        -0.1684403      -7.127773        -0.1660763      -7.127773        -0.1636812      -7.127773        -0.1612579  
     -6.98001         -0.219964       -6.98001        -0.2192999       -6.98001        -0.2185631       -6.98001        -0.2177546       -6.98001        -0.2168752       -6.98001        -0.2159262       -6.98001        -0.2149087       -6.98001        -0.2138238       -6.98001         -0.212673       -6.98001        -0.2114576       -6.98001        -0.2101791       -6.98001         -0.208839       -6.98001        -0.2074391       -6.98001        -0.2059809       -6.98001        -0.2044664       -6.98001        -0.2028972       -6.98001        -0.2012754       -6.98001        -0.1996029       -6.98001        -0.1978817       -6.98001         -0.196114       -6.98001        -0.1943018       -6.98001        -0.1924475       -6.98001        -0.1905532       -6.98001        -0.1886213       -6.98001        -0.1866542       -6.98001        -0.1846541       -6.98001        -0.1826237  
    -6.784567        -0.2256419      -6.784567         -0.225277      -6.784567        -0.2248492      -6.784567        -0.2243589      -6.784567        -0.2238067      -6.784567        -0.2231933      -6.784567        -0.2225195      -6.784567        -0.2217859      -6.784567        -0.2209937      -6.784567        -0.2201436      -6.784567        -0.2192368      -6.784567        -0.2182744      -6.784567        -0.2172575      -6.784567        -0.2161874      -6.784567        -0.2150653      -6.784567        -0.2138927      -6.784567        -0.2126709      -6.784567        -0.2114015      -6.784567         -0.210086      -6.784567         -0.208726      -6.784567        -0.2073232      -6.784567        -0.2058792      -6.784567        -0.2043959      -6.784567         -0.202875      -6.784567        -0.2013184      -6.784567        -0.1997279      -6.784567        -0.1981056  
    -6.542778        -0.2278131      -6.542778        -0.2277003      -6.542778        -0.2275332      -6.542778         -0.227312      -6.542778        -0.2270371      -6.542778        -0.2267087      -6.542778        -0.2263273      -6.542778        -0.2258933      -6.542778        -0.2254073      -6.542778        -0.2248698      -6.542778        -0.2242816      -6.542778        -0.2236432      -6.542778        -0.2229556      -6.542778        -0.2222195      -6.542778        -0.2214358      -6.542778        -0.2206055      -6.542778        -0.2197296      -6.542778        -0.2188092      -6.542778        -0.2178453      -6.542778        -0.2168392      -6.542778        -0.2157921      -6.542778        -0.2147053      -6.542778        -0.2135801      -6.542778        -0.2124178      -6.542778        -0.2112199      -6.542778        -0.2099878      -6.542778         -0.208723  
    -6.256295        -0.2284243      -6.256295        -0.2285005      -6.256295        -0.2285293      -6.256295        -0.2285108      -6.256295         -0.228445      -6.256295        -0.2283319      -6.256295        -0.2281717      -6.256295        -0.2279646      -6.256295        -0.2277108      -6.256295        -0.2274106      -6.256295        -0.2270644      -6.256295        -0.2266726      -6.256295        -0.2262358      -6.256295        -0.2257544      -6.256295         -0.225229      -6.256295        -0.2246602      -6.256295        -0.2240488      -6.256295        -0.2233955      -6.256295        -0.2227011      -6.256295        -0.2219664      -6.256295        -0.2211924      -6.256295        -0.2203799      -6.256295          -0.21953      -6.256295        -0.2186437      -6.256295        -0.2177221      -6.256295        -0.2167663      -6.256295        -0.2157775  
    -5.927076        -0.2284773      -5.927076        -0.2286851      -5.927076        -0.2288506      -5.927076        -0.2289735      -5.927076        -0.2290537      -5.927076        -0.2290911      -5.927076        -0.2290856      -5.927076        -0.2290373      -5.927076        -0.2289463      -5.927076        -0.2288125      -5.927076        -0.2286363      -5.927076        -0.2284177      -5.927076        -0.2281572      -5.927076        -0.2278549      -5.927076        -0.2275113      -5.927076        -0.2271268      -5.927076        -0.2267018      -5.927076        -0.2262369      -5.927076        -0.2257326      -5.927076        -0.2251896      -5.927076        -0.2246084      -5.927076        -0.2239899      -5.927076        -0.2233348      -5.927076        -0.2226438      -5.927076        -0.2219179      -5.927076        -0.2211578      -5.927076        -0.2203645  
    -5.557368        -0.2283802      -5.557368        -0.2286756      -5.557368        -0.2289319      -5.557368        -0.2291489      -5.557368        -0.2293263      -5.557368        -0.2294638      -5.557368        -0.2295614      -5.557368        -0.2296189      -5.557368        -0.2296361      -5.557368        -0.2296132      -5.557368        -0.2295501      -5.557368        -0.2294469      -5.557368        -0.2293037      -5.557368        -0.2291208      -5.557368        -0.2288982      -5.557368        -0.2286364      -5.557368        -0.2283356      -5.557368        -0.2279961      -5.557368        -0.2276185      -5.557368        -0.2272031      -5.557368        -0.2267505      -5.557368        -0.2262612      -5.557368        -0.2257358      -5.557368        -0.2251749      -5.557368        -0.2245793      -5.557368        -0.2239496      -5.557368        -0.2232867  
    -5.149698        -0.2282714      -5.149698        -0.2286232      -5.149698         -0.228938      -5.149698        -0.2292155      -5.149698        -0.2294552      -5.149698        -0.2296568      -5.149698        -0.2298202      -5.149698        -0.2299451      -5.149698        -0.2300314      -5.149698         -0.230079      -5.149698        -0.2300878      -5.149698        -0.2300578      -5.149698         -0.229989      -5.149698        -0.2298816      -5.149698        -0.2297356      -5.149698        -0.2295512      -5.149698        -0.2293287      -5.149698        -0.2290683      -5.149698        -0.2287704      -5.149698        -0.2284353      -5.149698        -0.2280634      -5.149698        -0.2276551      -5.149698        -0.2272111      -5.149698        -0.2267317      -5.149698        -0.2262176      -5.149698        -0.2256695      -5.149698        -0.2250879  
    -4.706851        -0.2281884      -4.706851        -0.2285752      -4.706851        -0.2289261      -4.706851        -0.2292405      -4.706851        -0.2295182      -4.706851        -0.2297587      -4.706851        -0.2299618      -4.706851        -0.2301272      -4.706851        -0.2302548      -4.706851        -0.2303443      -4.706851        -0.2303956      -4.706851        -0.2304088      -4.706851        -0.2303837      -4.706851        -0.2303204      -4.706851         -0.230219      -4.706851        -0.2300797      -4.706851        -0.2299025      -4.706851        -0.2296877      -4.706851        -0.2294356      -4.706851        -0.2291464      -4.706851        -0.2288205      -4.706851        -0.2284584      -4.706851        -0.2280604      -4.706851        -0.2276271      -4.706851        -0.2271589      -4.706851        -0.2266564      -4.706851        -0.2261204  
    -4.231851        -0.2281358      -4.231851        -0.2285427      -4.231851        -0.2289137      -4.231851        -0.2292487      -4.231851         -0.229547      -4.231851        -0.2298083      -4.231851        -0.2300324      -4.231851        -0.2302189      -4.231851        -0.2303677      -4.231851        -0.2304785      -4.231851        -0.2305512      -4.231851        -0.2305858      -4.231851        -0.2305821      -4.231851        -0.2305402      -4.231851        -0.2304602      -4.231851         -0.230342      -4.231851         -0.230186      -4.231851        -0.2299922      -4.231851        -0.2297609      -4.231851        -0.2294924      -4.231851        -0.2291871      -4.231851        -0.2288452      -4.231851        -0.2284672      -4.231851        -0.2280535      -4.231851        -0.2276048      -4.231851        -0.2271214      -4.231851        -0.2266041  
    -3.727943        -0.2281093      -3.727943        -0.2285249      -3.727943        -0.2289044      -3.727943        -0.2292474      -3.727943        -0.2295533      -3.727943         -0.229822      -3.727943        -0.2300529      -3.727943        -0.2302459      -3.727943        -0.2304008      -3.727943        -0.2305172      -3.727943        -0.2305952      -3.727943        -0.2306345      -3.727943        -0.2306352      -3.727943        -0.2305972      -3.727943        -0.2305206      -3.727943        -0.2304055      -3.727943        -0.2302519      -3.727943        -0.2300603      -3.727943        -0.2298306      -3.727943        -0.2295633      -3.727943        -0.2292586      -3.727943        -0.2289169      -3.727943        -0.2285387      -3.727943        -0.2281243      -3.727943        -0.2276744      -3.727943        -0.2271894      -3.727943        -0.2266699  
    -3.198569        -0.2281008      -3.198569        -0.2285161      -3.198569        -0.2288944      -3.198569        -0.2292352      -3.198569        -0.2295382      -3.198569         -0.229803      -3.198569        -0.2300293      -3.198569        -0.2302168      -3.198569        -0.2303652      -3.198569        -0.2304744      -3.198569        -0.2305442      -3.198569        -0.2305747      -3.198569        -0.2305656      -3.198569        -0.2305171      -3.198569        -0.2304292      -3.198569         -0.230302      -3.198569        -0.2301356      -3.198569        -0.2299303      -3.198569        -0.2296863      -3.198569         -0.229404      -3.198569        -0.2290835      -3.198569        -0.2287255      -3.198569        -0.2283302      -3.198569        -0.2278981      -3.198569        -0.2274299      -3.198569         -0.226926      -3.198569        -0.2263871  
    -2.647346        -0.2280956      -2.647346        -0.2285023      -2.647346        -0.2288708      -2.647346        -0.2292004      -2.647346        -0.2294909      -2.647346        -0.2297419      -2.647346        -0.2299531      -2.647346        -0.2301242      -2.647346         -0.230255      -2.647346        -0.2303453      -2.647346        -0.2303952      -2.647346        -0.2304044      -2.647346         -0.230373      -2.647346        -0.2303009      -2.647346        -0.2301884      -2.647346        -0.2300356      -2.647346        -0.2298425      -2.647346        -0.2296096      -2.647346        -0.2293369      -2.647346         -0.229025      -2.647346        -0.2286741      -2.647346        -0.2282847      -2.647346        -0.2278572      -2.647346        -0.2273922      -2.647346        -0.2268903      -2.647346         -0.226352      -2.647346        -0.2257781  
    -2.078039        -0.2280581      -2.078039        -0.2284485      -2.078039        -0.2287987      -2.078039        -0.2291085      -2.078039        -0.2293774      -2.078039         -0.229605      -2.078039        -0.2297912      -2.078039        -0.2299356      -2.078039        -0.2300382      -2.078039        -0.2300987      -2.078039        -0.2301172      -2.078039        -0.2300935      -2.078039        -0.2300277      -2.078039        -0.2299199      -2.078039        -0.2297703      -2.078039         -0.229579      -2.078039        -0.2293461      -2.078039        -0.2290722      -2.078039        -0.2287573      -2.078039        -0.2284021      -2.078039        -0.2280067      -2.078039        -0.2275719      -2.078039         -0.227098      -2.078039        -0.2265857      -2.078039        -0.2260356      -2.078039        -0.2254483      -2.078039        -0.2248246  
    -1.494537        -0.2278906      -1.494537        -0.2282577      -1.494537        -0.2285825      -1.494537        -0.2288646      -1.494537        -0.2291038      -1.494537        -0.2292997      -1.494537        -0.2294521      -1.494537        -0.2295607      -1.494537        -0.2296255      -1.494537        -0.2296464      -1.494537        -0.2296234      -1.494537        -0.2295564      -1.494537        -0.2294456      -1.494537        -0.2292911      -1.494537        -0.2290931      -1.494537        -0.2288518      -1.494537        -0.2285675      -1.494537        -0.2282407      -1.494537        -0.2278715      -1.494537        -0.2274606      -1.494537        -0.2270084      -1.494537        -0.2265155      -1.494537        -0.2259824      -1.494537        -0.2254099      -1.494537        -0.2247986      -1.494537        -0.2241492      -1.494537        -0.2234626  
   -0.9008254        -0.2273091     -0.9008254        -0.2276502     -0.9008254        -0.2279467     -0.9008254        -0.2281981     -0.9008254        -0.2284042     -0.9008254        -0.2285648     -0.9008254        -0.2286795     -0.9008254        -0.2287484     -0.9008254        -0.2287712     -0.9008254        -0.2287481     -0.9008254        -0.2286789     -0.9008254        -0.2285638     -0.9008254        -0.2284029     -0.9008254        -0.2281965     -0.9008254        -0.2279447     -0.9008254         -0.227648     -0.9008254        -0.2273065     -0.9008254        -0.2269208     -0.9008254        -0.2264914     -0.9008254        -0.2260187     -0.9008254        -0.2255033     -0.9008254        -0.2249459     -0.9008254        -0.2243471     -0.9008254        -0.2237076     -0.9008254        -0.2230283     -0.9008254          -0.22231     -0.9008254        -0.2215536  
   -0.3009604         -0.225355     -0.3009604        -0.2256899     -0.3009604        -0.2259783     -0.3009604        -0.2262198     -0.3009604        -0.2264139     -0.3009604        -0.2265606     -0.3009604        -0.2266596     -0.3009604        -0.2267109     -0.3009604        -0.2267143     -0.3009604        -0.2266698     -0.3009604        -0.2265775     -0.3009604        -0.2264376     -0.3009604        -0.2262501     -0.3009604        -0.2260153     -0.3009604        -0.2257336     -0.3009604        -0.2254051     -0.3009604        -0.2250305     -0.3009604          -0.22461     -0.3009604        -0.2241442     -0.3009604        -0.2236337     -0.3009604        -0.2230791     -0.3009604        -0.2224811     -0.3009604        -0.2218403     -0.3009604        -0.2211577     -0.3009604         -0.220434     -0.3009604        -0.2196701     -0.3009604        -0.2188669  
    0.3009604         -0.225355      0.3009604        -0.2256899      0.3009604        -0.2259783      0.3009604        -0.2262198      0.3009604        -0.2264139      0.3009604        -0.2265606      0.3009604        -0.2266596      0.3009604        -0.2267109      0.3009604        -0.2267143      0.3009604        -0.2266698      0.3009604        -0.2265775      0.3009604        -0.2264376      0.3009604        -0.2262501      0.3009604        -0.2260153      0.3009604        -0.2257336      0.3009604        -0.2254051      0.3009604        -0.2250305      0.3009604          -0.22461      0.3009604        -0.2241442      0.3009604        -0.2236337      0.3009604        -0.2230791      0.3009604        -0.2224811      0.3009604        -0.2218403      0.3009604        -0.2211577      0.3009604         -0.220434      0.3009604        -0.2196701      0.3009604        -0.2188669  
